Citation Number,Citation Date,Citation Time,Day of the Week,Age,Race,Sex,Police Beat
SE587335,01/07/2019 12:00:00 AM,1827,Mon,54,White,Male,
SE587323,01/06/2019 12:00:00 AM,1046,Sun,24,White,Male,
SE587321,01/06/2019 12:00:00 AM,1019,Sun,39,Black,Female,
SE587320,01/06/2019 12:00:00 AM,939,Sun,58,White,Male,
SE587704,01/06/2019 12:00:00 AM,1428,Sun,17,White,Male,
SE587328,01/06/2019 12:00:00 AM,1148,Sun,29,Asian,Male,
SE587327,01/06/2019 12:00:00 AM,1128,Sun,55,White,Female,
SE587319,01/06/2019 12:00:00 AM,717,Sun,31,Black,Male,
SE587705,01/06/2019 12:00:00 AM,1428,Sun,17,White,Male,
E202110,01/06/2019 12:00:00 AM,1309,Sun,40,Black,Female,
E202111,01/06/2019 12:00:00 AM,1327,Sun,63,Black,Male,
E202108,01/06/2019 12:00:00 AM,1243,Sun,46,White,Female,
E202109,01/06/2019 12:00:00 AM,1259,Sun,20,Black,Male,
SE587331,01/06/2019 12:00:00 AM,1600,Sun,42,Asian,Female,
SE587330,01/06/2019 12:00:00 AM,1600,Sun,42,Asian,Female,
SE587329,01/06/2019 12:00:00 AM,1206,Sun,21,Black,Male,
SE587326,01/06/2019 12:00:00 AM,1057,Sun,25,Black,Female,
SE587325,01/06/2019 12:00:00 AM,1057,Sun,25,Black,Female,
SE587324,01/06/2019 12:00:00 AM,1046,Sun,24,White,Male,
SE587322,01/06/2019 12:00:00 AM,1046,Sun,24,White,Male,
SE587294,01/05/2019 12:00:00 AM,1029,Sat,55,White,Male,
SE587291,01/05/2019 12:00:00 AM,939,Sat,38,Asian,Male,
SE587290,01/05/2019 12:00:00 AM,946,Sat,43,White,Male,
SE587289,01/05/2019 12:00:00 AM,939,Sat,38,Asian,Male,
SE587287,01/05/2019 12:00:00 AM,732,Sat,18,White,Female,
SE587286,01/05/2019 12:00:00 AM,732,Sat,18,White,Female,
SE587285,01/05/2019 12:00:00 AM,714,Sat,55,White,Female,
SE587284,01/05/2019 12:00:00 AM,652,Sat,40,Black,Female,
SE587283,01/05/2019 12:00:00 AM,652,Sat,40,Black,Female,
E202105,01/05/2019 12:00:00 AM,1047,Sat,16,White,Female,
SE587295,01/05/2019 12:00:00 AM,1056,Sat,34,Black,Male,
E202104,01/05/2019 12:00:00 AM,1019,Sat,79,White,Female,
E202101,01/05/2019 12:00:00 AM,916,Sat,48,White,Male,
SE587307,01/05/2019 12:00:00 AM,1251,Sat,67,White,Male,
SE587282,01/05/2019 12:00:00 AM,638,Sat,32,Black,Female,
SE587302,01/05/2019 12:00:00 AM,1118,Sat,38,Black,Male,
SE587312,01/05/2019 12:00:00 AM,1511,Sat,33,Black,Female,
SE587313,01/05/2019 12:00:00 AM,1523,Sat,41,White,Male,
SE587300,01/05/2019 12:00:00 AM,1101,Sat,43,Black,Female,
SE587299,01/05/2019 12:00:00 AM,1101,Sat,43,Black,Female,
SE587298,01/05/2019 12:00:00 AM,1100,Sat,59,Black,Female,
E202107,01/05/2019 12:00:00 AM,1701,Sat,28,White,Male,
SE587296,01/05/2019 12:00:00 AM,1100,Sat,59,Black,Female,
SE587314,01/05/2019 12:00:00 AM,1544,Sat,26,White,Male,
EV85359,01/05/2019 12:00:00 AM,1349,Sat,24,Black,Female,
SE587304,01/05/2019 12:00:00 AM,1118,Sat,38,Black,Male,
SE587305,01/05/2019 12:00:00 AM,1118,Sat,38,Black,Male,
SE587306,01/05/2019 12:00:00 AM,1118,Sat,38,Black,Male,
SE587308,01/05/2019 12:00:00 AM,1310,Sat,45,White,Male,
SE587318,01/05/2019 12:00:00 AM,2046,Sat,26,White,Male,
SE587288,01/05/2019 12:00:00 AM,928,Sat,68,Black,Male,
SE587309,01/05/2019 12:00:00 AM,1416,Sat,31,Black,Male,
E202103,01/05/2019 12:00:00 AM,1006,Sat,56,White,Male,
SE587297,01/05/2019 12:00:00 AM,1100,Sat,59,Black,Female,
E202106,01/05/2019 12:00:00 AM,1230,Sat,22,White,Female,
SE587292,01/05/2019 12:00:00 AM,1009,Sat,32,White,Female,
SE587293,01/05/2019 12:00:00 AM,1010,Sat,44,Asian,Male,
SE587303,01/05/2019 12:00:00 AM,1213,Sat,53,Black,Female,
SE587317,01/05/2019 12:00:00 AM,2046,Sat,26,White,Male,
E202102,01/05/2019 12:00:00 AM,956,Sat,51,White,Male,
SE587316,01/05/2019 12:00:00 AM,1621,Sat,30,Black,Female,
SE587315,01/05/2019 12:00:00 AM,1553,Sat,57,White,Female,
SE587311,01/05/2019 12:00:00 AM,1428,Sat,61,White,Male,
SE587310,01/05/2019 12:00:00 AM,1428,Sat,61,White,Male,
SE587301,01/05/2019 12:00:00 AM,1131,Sat,47,White,Female,
SE587269,01/04/2019 12:00:00 AM,1314,Fri,65,White,Male,
EV83618,01/04/2019 12:00:00 AM,1001,Fri,47,White,Female,
YE738943,01/04/2019 12:00:00 AM,1816,Fri,35,Black,Female,
YE738942,01/04/2019 12:00:00 AM,1816,Fri,35,Black,Female,
YB592371,01/04/2019 12:00:00 AM,1003,Fri,77,Asian,Female,
SE587278,01/04/2019 12:00:00 AM,1623,Fri,31,Black,Female,
SE587263,01/04/2019 12:00:00 AM,709,Fri,65,White,Male,
SE587262,01/04/2019 12:00:00 AM,805,Fri,23,Black,Female,
SE587261,01/04/2019 12:00:00 AM,805,Fri,23,Black,Female,
SE587260,01/04/2019 12:00:00 AM,805,Fri,23,Black,Female,
SE587259,01/04/2019 12:00:00 AM,742,Fri,51,Black,Female,
SE587258,01/04/2019 12:00:00 AM,742,Fri,51,Black,Female,
SE587257,01/04/2019 12:00:00 AM,720,Fri,38,White,Female,
E202095,01/04/2019 12:00:00 AM,1229,Fri,22,White,Male,
SE587281,01/04/2019 12:00:00 AM,1701,Fri,51,White,Female,
SE587276,01/04/2019 12:00:00 AM,1508,Fri,24,White,Male,
SE587275,01/04/2019 12:00:00 AM,1508,Fri,24,White,Male,
SE587272,01/04/2019 12:00:00 AM,1408,Fri,15,Black,Female,
SE587271,01/04/2019 12:00:00 AM,1408,Fri,15,Black,Female,
SE587270,01/04/2019 12:00:00 AM,1408,Fri,15,Black,Female,
SE587268,01/04/2019 12:00:00 AM,1314,Fri,65,White,Male,
SE587267,01/04/2019 12:00:00 AM,1051,Fri,58,Black,Female,
SE587266,01/04/2019 12:00:00 AM,1051,Fri,58,Black,Female,
SE587265,01/04/2019 12:00:00 AM,1051,Fri,58,Black,Female,
E202099,01/04/2019 12:00:00 AM,1454,Fri,67,White,Male,
E202096,01/04/2019 12:00:00 AM,1234,Fri,32,White,Male,
SE587280,01/04/2019 12:00:00 AM,1640,Fri,41,White,Male,
SE587279,01/04/2019 12:00:00 AM,1640,Fri,41,White,Male,
SE587277,01/04/2019 12:00:00 AM,1608,Fri,68,White,Male,
SE587274,01/04/2019 12:00:00 AM,1448,Fri,79,White,Female,
SE587273,01/04/2019 12:00:00 AM,1446,Fri,79,White,Female,
E202100,01/04/2019 12:00:00 AM,1530,Fri,35,Black,Female,
E202098,01/04/2019 12:00:00 AM,1439,Fri,51,Asian,Male,
E202097,01/04/2019 12:00:00 AM,1239,Fri,47,White,Female,
E202094,01/04/2019 12:00:00 AM,1200,Fri,37,White,Male,
E202093,01/04/2019 12:00:00 AM,1148,Fri,64,Black,Female,
SE587256,01/04/2019 12:00:00 AM,656,Fri,63,White,Male,
SE587243,01/03/2019 12:00:00 AM,1121,Thu,37,Black,Female,
SE587254,01/03/2019 12:00:00 AM,2120,Thu,51,White,Male,
SE587255,01/03/2019 12:00:00 AM,2208,Thu,44,Black,Male,
E202090,01/03/2019 12:00:00 AM,1040,Thu,29,White,Female,
E202089,01/03/2019 12:00:00 AM,920,Thu,37,White,Male,
SE587239,01/03/2019 12:00:00 AM,906,Thu,45,White,Male,
SE587241,01/03/2019 12:00:00 AM,933,Thu,52,White,Female,
SE587240,01/03/2019 12:00:00 AM,933,Thu,52,White,Female,
SE587244,01/03/2019 12:00:00 AM,1133,Thu,38,Black,Male,
SE587249,01/03/2019 12:00:00 AM,1830,Thu,35,Black,Female,
SE587248,01/03/2019 12:00:00 AM,1830,Thu,35,Black,Female,
SE587246,01/03/2019 12:00:00 AM,1147,Thu,71,White,Male,
SE587242,01/03/2019 12:00:00 AM,1121,Thu,37,Black,Female,
SE587245,01/03/2019 12:00:00 AM,1133,Thu,38,Black,Male,
SE587238,01/03/2019 12:00:00 AM,906,Thu,45,White,Male,
SE587237,01/03/2019 12:00:00 AM,709,Thu,32,White,Male,
SE587250,01/03/2019 12:00:00 AM,1833,Thu,20,Black,Male,
SE587247,01/03/2019 12:00:00 AM,1713,Thu,53,White,Female,
SE587252,01/03/2019 12:00:00 AM,2051,Thu,30,White,Male,
SE587251,01/03/2019 12:00:00 AM,2030,Thu,35,Black,Female,
YE738941,01/03/2019 12:00:00 AM,1754,Thu,24,Black,Male,
E202092,01/03/2019 12:00:00 AM,1110,Thu,42,White,Female,
SE587236,01/03/2019 12:00:00 AM,702,Thu,61,Black,Male,
E202091,01/03/2019 12:00:00 AM,1102,Thu,30,White,Male,
SE587253,01/03/2019 12:00:00 AM,2120,Thu,51,White,Male,
E202088,01/02/2019 12:00:00 AM,1810,Wed,54,White,Male,
SE587229,01/02/2019 12:00:00 AM,1613,Wed,27,Black,Male,
YE720975,01/02/2019 12:00:00 AM,1455,Wed,46,Black,Male,
SE587231,01/02/2019 12:00:00 AM,1842,Wed,24,Black,Male,
SE587235,01/02/2019 12:00:00 AM,2117,Wed,53,Black,Male,
YE720976,01/02/2019 12:00:00 AM,1455,Wed,46,Black,Male,
SE587230,01/02/2019 12:00:00 AM,1717,Wed,39,Black,Female,
SE587234,01/02/2019 12:00:00 AM,1842,Wed,24,Black,Male,
SE587233,01/02/2019 12:00:00 AM,1842,Wed,24,Black,Male,
YE670127,01/02/2019 12:00:00 AM,2356,Wed,39,White,Female,
YE720974,01/02/2019 12:00:00 AM,1455,Wed,46,Black,Male,
SE587228,01/02/2019 12:00:00 AM,832,Wed,70,White,Male,
SE587224,01/01/2019 12:00:00 AM,1717,Tue,52,White,Male,
SE587223,01/01/2019 12:00:00 AM,1527,Tue,68,White,Female,
SE587222,01/01/2019 12:00:00 AM,1022,Tue,65,White,Male,
SE587221,01/01/2019 12:00:00 AM,115,Tue,28,Black,Female,
SE587220,01/01/2019 12:00:00 AM,115,Tue,28,Black,Female,
SE587219,01/01/2019 12:00:00 AM,25,Tue,36,White,Male,
SE587226,01/01/2019 12:00:00 AM,1940,Tue,24,White,Male,
SE587225,01/01/2019 12:00:00 AM,1925,Tue,28,,Male,
E202087,01/01/2019 12:00:00 AM,55,Tue,37,Black,Female,
E202086,01/01/2019 12:00:00 AM,6,Tue,45,Asian,Male,
SE587227,01/01/2019 12:00:00 AM,2136,Tue,29,Black,Male,
YE738904,12/31/2018 12:00:00 AM,411,Mon,39,Black,Male,
E202082,12/31/2018 12:00:00 AM,2133,Mon,28,White,Male,
EV81092,12/31/2018 12:00:00 AM,205,Mon,27,Black,Male,
YE738903,12/31/2018 12:00:00 AM,411,Mon,39,Black,Male,
E202085,12/31/2018 12:00:00 AM,2322,Mon,31,Black,Male,
SE587209,12/31/2018 12:00:00 AM,58,Mon,25,White,Female,
SE587210,12/31/2018 12:00:00 AM,58,Mon,25,White,Female,
SE587211,12/31/2018 12:00:00 AM,118,Mon,18,Black,Male,
SE587212,12/31/2018 12:00:00 AM,118,Mon,18,Black,Male,
SE587213,12/31/2018 12:00:00 AM,118,Mon,18,Black,Male,
SE587214,12/31/2018 12:00:00 AM,648,Mon,55,Black,Male,
SE587215,12/31/2018 12:00:00 AM,658,Mon,32,Black,Female,
SE587216,12/31/2018 12:00:00 AM,658,Mon,32,Black,Female,
SE587217,12/31/2018 12:00:00 AM,2346,Mon,32,White,Male,
SE587218,12/31/2018 12:00:00 AM,2346,Mon,32,White,Male,
E202083,12/31/2018 12:00:00 AM,2156,Mon,51,White,Male,
E202084,12/31/2018 12:00:00 AM,2229,Mon,62,Asian,Male,
SE587200,12/30/2018 12:00:00 AM,724,Sun,27,White,Male,
SE587199,12/30/2018 12:00:00 AM,701,Sun,30,Black,Male,
YE600695,12/30/2018 12:00:00 AM,17,Sun,25,White,Male,
SE587207,12/30/2018 12:00:00 AM,2240,Sun,47,White,Male,
EV87673,12/30/2018 12:00:00 AM,230,Sun,31,Black,Male,
YE600696,12/30/2018 12:00:00 AM,17,Sun,25,White,Male,
YE600694,12/30/2018 12:00:00 AM,17,Sun,25,White,Male,
SE587208,12/30/2018 12:00:00 AM,2240,Sun,47,White,Male,
E202080,12/30/2018 12:00:00 AM,2155,Sun,64,White,Male,
E202081,12/30/2018 12:00:00 AM,2358,Sun,18,Black,Female,
SE587205,12/30/2018 12:00:00 AM,2209,Sun,18,White,Male,
SE587206,12/30/2018 12:00:00 AM,2225,Sun,56,White,Male,
SE587204,12/30/2018 12:00:00 AM,1917,Sun,18,White,Female,
SE587203,12/30/2018 12:00:00 AM,1917,Sun,18,White,Female,
SE587202,12/30/2018 12:00:00 AM,1423,Sun,53,Asian,Male,
SE587201,12/30/2018 12:00:00 AM,1149,Sun,55,White,Female,
SE587179,12/29/2018 12:00:00 AM,130,Sat,69,Black,Male,
YE738902,12/29/2018 12:00:00 AM,2338,Sat,33,Black,Male,
YE738901,12/29/2018 12:00:00 AM,2338,Sat,33,Black,Male,
YE738900,12/29/2018 12:00:00 AM,2338,Sat,33,Black,Male,
SE587198,12/29/2018 12:00:00 AM,2147,Sat,27,Unknown,Male,
SE587197,12/29/2018 12:00:00 AM,1716,Sat,44,White,Female,
SE587196,12/29/2018 12:00:00 AM,1607,Sat,49,Black,Male,
SE587195,12/29/2018 12:00:00 AM,1607,Sat,49,Black,Male,
SE587194,12/29/2018 12:00:00 AM,1555,Sat,63,Black,Male,
SE587193,12/29/2018 12:00:00 AM,1541,Sat,27,White,Male,
SE587192,12/29/2018 12:00:00 AM,1530,Sat,32,,Female,
SE587191,12/29/2018 12:00:00 AM,1510,Sat,57,White,Male,
SE587190,12/29/2018 12:00:00 AM,1228,Sat,35,White,Male,
SE587189,12/29/2018 12:00:00 AM,1228,Sat,35,White,Male,
SE587187,12/29/2018 12:00:00 AM,824,Sat,25,Black,Male,
SE587186,12/29/2018 12:00:00 AM,742,Sat,35,White,Female,
SE587185,12/29/2018 12:00:00 AM,742,Sat,35,White,Female,
SE587184,12/29/2018 12:00:00 AM,717,Sat,32,Black,Male,
SE587183,12/29/2018 12:00:00 AM,717,Sat,32,Black,Male,
SE587178,12/29/2018 12:00:00 AM,108,Sat,26,Asian,Male,
CL730297,12/29/2018 12:00:00 AM,2338,Sat,33,Black,Male,
EV86820,12/29/2018 12:00:00 AM,1647,Sat,28,White,Female,
EV85358,12/29/2018 12:00:00 AM,1642,Sat,52,Black,Male,
E202079,12/29/2018 12:00:00 AM,1308,Sat,43,White,Male,
SE587188,12/29/2018 12:00:00 AM,1045,Sat,37,Black,Male,
SE587182,12/29/2018 12:00:00 AM,707,Sat,26,White,Male,
SE587181,12/29/2018 12:00:00 AM,707,Sat,26,White,Male,
SE587180,12/29/2018 12:00:00 AM,653,Sat,64,White,Male,
SE587177,12/29/2018 12:00:00 AM,0,Sat,21,Black,Male,
SE587176,12/29/2018 12:00:00 AM,0,Sat,21,Black,Male,
SE587172,12/28/2018 12:00:00 AM,1658,Fri,26,Black,Female,
SE587171,12/28/2018 12:00:00 AM,1658,Fri,26,Black,Female,
SE587170,12/28/2018 12:00:00 AM,1658,Fri,26,Black,Female,
SE587169,12/28/2018 12:00:00 AM,1445,Fri,19,White,Male,
SE587168,12/28/2018 12:00:00 AM,1343,Fri,80,White,Female,
SE587167,12/28/2018 12:00:00 AM,1343,Fri,80,White,Female,
SE587152,12/28/2018 12:00:00 AM,746,Fri,36,Black,Male,
SE587149,12/28/2018 12:00:00 AM,651,Fri,50,Black,Female,
SE587173,12/28/2018 12:00:00 AM,1752,Fri,69,White,Male,
SE587162,12/28/2018 12:00:00 AM,1114,Fri,66,White,Female,
SE587161,12/28/2018 12:00:00 AM,1016,Fri,26,White,Male,
SE587160,12/28/2018 12:00:00 AM,1008,Fri,41,Black,Male,
SE587159,12/28/2018 12:00:00 AM,1008,Fri,41,Black,Male,
SE587166,12/28/2018 12:00:00 AM,1325,Fri,67,White,Female,
SE587165,12/28/2018 12:00:00 AM,1317,Fri,31,White,Male,
SE587164,12/28/2018 12:00:00 AM,1304,Fri,52,White,Male,
SE587158,12/28/2018 12:00:00 AM,946,Fri,63,White,Female,
SE587157,12/28/2018 12:00:00 AM,922,Fri,18,White,Male,
SE587156,12/28/2018 12:00:00 AM,844,Fri,38,Black,Female,
SE587155,12/28/2018 12:00:00 AM,824,Fri,47,White,Male,
SE587163,12/28/2018 12:00:00 AM,1304,Fri,52,White,Male,
YE720757,12/28/2018 12:00:00 AM,1631,Fri,31,Black,Male,
YE720756,12/28/2018 12:00:00 AM,1631,Fri,31,Black,Male,
E202078,12/28/2018 12:00:00 AM,2303,Fri,35,White,Male,
E202075,12/28/2018 12:00:00 AM,1954,Fri,61,White,Male,
E202073,12/28/2018 12:00:00 AM,1330,Fri,46,White,Male,
EV76390,12/28/2018 12:00:00 AM,9,Fri,22,White,Male,
E202077,12/28/2018 12:00:00 AM,2303,Fri,33,White,Female,
E202076,12/28/2018 12:00:00 AM,2110,Fri,27,Asian,Male,
E202074,12/28/2018 12:00:00 AM,1345,Fri,24,Black,Male,
E202071,12/28/2018 12:00:00 AM,1235,Fri,49,White,Male,
E202070,12/28/2018 12:00:00 AM,1202,Fri,72,White,Female,
E202069,12/28/2018 12:00:00 AM,1143,Fri,48,White,Female,
SE587154,12/28/2018 12:00:00 AM,814,Fri,59,White,Male,
SE587153,12/28/2018 12:00:00 AM,758,Fri,42,White,Male,
E202072,12/28/2018 12:00:00 AM,1313,Fri,33,White,Male,
E202068,12/28/2018 12:00:00 AM,1129,Fri,51,White,Male,
E202067,12/28/2018 12:00:00 AM,934,Fri,49,White,Male,
E202066,12/28/2018 12:00:00 AM,704,Fri,64,White,Male,
SE587175,12/28/2018 12:00:00 AM,2209,Fri,58,White,Male,
SE587151,12/28/2018 12:00:00 AM,727,Fri,59,White,Female,
SE587150,12/28/2018 12:00:00 AM,727,Fri,59,White,Female,
SE587174,12/28/2018 12:00:00 AM,1930,Fri,26,White,Male,
E202064,12/27/2018 12:00:00 AM,1503,Thu,54,White,Male,
YE720753,12/27/2018 12:00:00 AM,1549,Thu,24,Black,Male,
SE587148,12/27/2018 12:00:00 AM,2028,Thu,59,White,Male,
SE587147,12/27/2018 12:00:00 AM,2028,Thu,59,White,Male,
SE587146,12/27/2018 12:00:00 AM,2028,Thu,59,White,Male,
SE587145,12/27/2018 12:00:00 AM,2028,Thu,59,White,Male,
SE587142,12/27/2018 12:00:00 AM,1425,Thu,43,White,Male,
SE587141,12/27/2018 12:00:00 AM,1413,Thu,33,Black,Male,
SE587138,12/27/2018 12:00:00 AM,954,Thu,65,White,Male,
SE587136,12/27/2018 12:00:00 AM,931,Thu,37,White,Female,
EV85357,12/27/2018 12:00:00 AM,1645,Thu,18,Asian,Male,
YE720754,12/27/2018 12:00:00 AM,1655,Thu,18,White,Female,
YE720755,12/27/2018 12:00:00 AM,1655,Thu,18,White,Female,
E202063,12/27/2018 12:00:00 AM,1437,Thu,27,White,Male,
E202062,12/27/2018 12:00:00 AM,1253,Thu,83,White,Female,
E202060,12/27/2018 12:00:00 AM,1221,Thu,70,White,Male,
SE587144,12/27/2018 12:00:00 AM,1530,Thu,39,White,Female,
SE587143,12/27/2018 12:00:00 AM,1451,Thu,23,White,Female,
SE587140,12/27/2018 12:00:00 AM,1356,Thu,43,Black,Female,
SE587137,12/27/2018 12:00:00 AM,941,Thu,44,White,Female,
SE587135,12/27/2018 12:00:00 AM,850,Thu,50,White,Female,
SE587134,12/27/2018 12:00:00 AM,739,Thu,26,White,Male,
E202065,12/27/2018 12:00:00 AM,1520,Thu,69,White,Female,
E202061,12/27/2018 12:00:00 AM,1239,Thu,49,White,Female,
E202059,12/27/2018 12:00:00 AM,1208,Thu,33,White,Male,
E202058,12/27/2018 12:00:00 AM,907,Thu,75,White,Female,
E202056,12/26/2018 12:00:00 AM,1820,Wed,80,White,Female,
SE587131,12/26/2018 12:00:00 AM,1659,Wed,18,Black,Female,
SE587130,12/26/2018 12:00:00 AM,1659,Wed,18,Black,Female,
SE587129,12/26/2018 12:00:00 AM,1659,Wed,18,Black,Female,
SE587127,12/26/2018 12:00:00 AM,1003,Wed,24,White,Male,
E202054,12/26/2018 12:00:00 AM,1537,Wed,29,White,Male,
E202055,12/26/2018 12:00:00 AM,1646,Wed,73,White,Female,
SE587128,12/26/2018 12:00:00 AM,1610,Wed,25,Asian,Female,
SE587132,12/26/2018 12:00:00 AM,1757,Wed,30,White,Female,
SE587133,12/26/2018 12:00:00 AM,1757,Wed,30,White,Female,
E202057,12/26/2018 12:00:00 AM,1938,Wed,49,Black,Male,
E202052,12/26/2018 12:00:00 AM,1510,Wed,33,White,Female,
YE721160,12/26/2018 12:00:00 AM,1536,Wed,42,Black,Female,
YE721161,12/26/2018 12:00:00 AM,1536,Wed,42,Black,Female,
YE721162,12/26/2018 12:00:00 AM,1536,Wed,42,Black,Female,
YE721163,12/26/2018 12:00:00 AM,1536,Wed,42,Black,Female,
E202053,12/26/2018 12:00:00 AM,1521,Wed,22,White,Female,
SE587126,12/25/2018 12:00:00 AM,1833,Tue,36,White,Male,
SE587125,12/25/2018 12:00:00 AM,1833,Tue,36,White,Male,
YE739423,12/24/2018 12:00:00 AM,658,Mon,38,Black,Female,
YE721426,12/24/2018 12:00:00 AM,224,Mon,35,Black,Male,
YE721425,12/24/2018 12:00:00 AM,224,Mon,35,Black,Male,
YE721424,12/24/2018 12:00:00 AM,224,Mon,35,Black,Male,
SE587124,12/24/2018 12:00:00 AM,1514,Mon,55,Asian,Male,
SE587120,12/24/2018 12:00:00 AM,759,Mon,21,Asian,Male,
SE587118,12/24/2018 12:00:00 AM,736,Mon,65,White,Female,
YE738725,12/24/2018 12:00:00 AM,13,Mon,60,Black,Male,
YE738726,12/24/2018 12:00:00 AM,13,Mon,60,Black,Male,
YE738727,12/24/2018 12:00:00 AM,13,Mon,60,Black,Male,
SE587123,12/24/2018 12:00:00 AM,914,Mon,31,Black,Male,
SE587121,12/24/2018 12:00:00 AM,914,Mon,45,White,Male,
SE587119,12/24/2018 12:00:00 AM,743,Mon,64,Black,Female,
SE587117,12/24/2018 12:00:00 AM,724,Mon,53,Black,Male,
SE587122,12/24/2018 12:00:00 AM,914,Mon,31,Black,Male,
YE739422,12/24/2018 12:00:00 AM,658,Mon,38,Black,Female,
YE721427,12/24/2018 12:00:00 AM,224,Mon,35,Black,Male,
SE587115,12/23/2018 12:00:00 AM,1800,Sun,25,White,Male,
SE587113,12/23/2018 12:00:00 AM,1612,Sun,29,White,Female,
SE587114,12/23/2018 12:00:00 AM,1630,Sun,18,White,Male,
SE587116,12/23/2018 12:00:00 AM,1839,Sun,39,White,Female,
YE670357,12/23/2018 12:00:00 AM,219,Sun,27,Asian,Female,
YE670358,12/23/2018 12:00:00 AM,219,Sun,27,Asian,Female,
YE739255,12/23/2018 12:00:00 AM,52,Sun,50,Black,Female,
YE739256,12/23/2018 12:00:00 AM,52,Sun,50,Black,Female,
YE721314,12/23/2018 12:00:00 AM,1037,Sun,20,White,Male,
SE587105,12/22/2018 12:00:00 AM,2305,Sat,30,Black,Female,
SE587107,12/22/2018 12:00:00 AM,2353,Sat,16,White,Female,
SE587109,12/22/2018 12:00:00 AM,2353,Sat,16,White,Female,
SE587087,12/22/2018 12:00:00 AM,1043,Sat,59,White,Female,
SE587098,12/22/2018 12:00:00 AM,1758,Sat,37,White,Male,
SE587099,12/22/2018 12:00:00 AM,1758,Sat,37,White,Male,
SE587093,12/22/2018 12:00:00 AM,1243,Sat,58,White,Male,
SE587108,12/22/2018 12:00:00 AM,2353,Sat,16,White,Female,
E202051,12/22/2018 12:00:00 AM,2324,Sat,57,White,Male,
SE587088,12/22/2018 12:00:00 AM,1052,Sat,24,White,Female,
SE587092,12/22/2018 12:00:00 AM,1234,Sat,18,Asian,Female,
SE587103,12/22/2018 12:00:00 AM,2239,Sat,64,White,Male,
SE587100,12/22/2018 12:00:00 AM,1758,Sat,37,White,Male,
SE587101,12/22/2018 12:00:00 AM,1758,Sat,37,White,Male,
SE587104,12/22/2018 12:00:00 AM,2305,Sat,30,Black,Female,
SE587106,12/22/2018 12:00:00 AM,2335,Sat,29,White,Male,
SE587089,12/22/2018 12:00:00 AM,1104,Sat,58,Black,Female,
SE587094,12/22/2018 12:00:00 AM,1255,Sat,56,Asian,Female,
SE587095,12/22/2018 12:00:00 AM,1313,Sat,53,Black,Male,
YE670755,12/22/2018 12:00:00 AM,2223,Sat,35,White,Male,
YE670756,12/22/2018 12:00:00 AM,2223,Sat,35,White,Male,
YE670757,12/22/2018 12:00:00 AM,2223,Sat,35,White,Male,
SE587096,12/22/2018 12:00:00 AM,1602,Sat,53,Black,Male,
SE587097,12/22/2018 12:00:00 AM,1634,Sat,23,White,Male,
SE587090,12/22/2018 12:00:00 AM,1112,Sat,30,White,Male,
SE587091,12/22/2018 12:00:00 AM,1131,Sat,22,Asian,Female,
SE587102,12/22/2018 12:00:00 AM,2224,Sat,21,Black,Male,
YE600299,12/21/2018 12:00:00 AM,2302,Fri,23,White,Male,
SE587083,12/21/2018 12:00:00 AM,1837,Fri,47,White,Female,
SE587082,12/21/2018 12:00:00 AM,1833,Fri,47,White,Female,
SE587081,12/21/2018 12:00:00 AM,1829,Fri,47,White,Female,
SE587080,12/21/2018 12:00:00 AM,1727,Fri,47,White,Female,
E202050,12/21/2018 12:00:00 AM,1551,Fri,38,Black,Male,
SE587085,12/21/2018 12:00:00 AM,1555,Fri,47,White,Female,
YE721333,12/21/2018 12:00:00 AM,1732,Fri,83,Black,Male,
YE721334,12/21/2018 12:00:00 AM,1732,Fri,83,Black,Male,
YE721335,12/21/2018 12:00:00 AM,1732,Fri,83,Black,Male,
YE721336,12/21/2018 12:00:00 AM,1732,Fri,83,Black,Male,
SE587086,12/21/2018 12:00:00 AM,1555,Fri,47,White,Female,
SE587084,12/21/2018 12:00:00 AM,1839,Fri,47,White,Female,
YE670436,12/20/2018 12:00:00 AM,1916,Thu,48,Black,Male,
YE739068,12/20/2018 12:00:00 AM,1445,Thu,36,Black,Female,
YE739067,12/20/2018 12:00:00 AM,1445,Thu,36,Black,Female,
YE739066,12/20/2018 12:00:00 AM,1445,Thu,36,Black,Female,
YE739065,12/20/2018 12:00:00 AM,1445,Thu,36,Black,Female,
YE739064,12/20/2018 12:00:00 AM,1445,Thu,36,Black,Female,
YE670437,12/20/2018 12:00:00 AM,1916,Thu,48,Black,Male,
YE302323,12/20/2018 12:00:00 AM,812,Thu,28,White,Male,
YE302322,12/20/2018 12:00:00 AM,812,Thu,28,White,Male,
SE587078,12/20/2018 12:00:00 AM,2130,Thu,19,White,Male,
EV86455,12/20/2018 12:00:00 AM,155,Thu,58,White,Male,
SE587077,12/20/2018 12:00:00 AM,1841,Thu,37,Black,Male,
SE587076,12/20/2018 12:00:00 AM,1841,Thu,37,Black,Male,
SE587075,12/20/2018 12:00:00 AM,1747,Thu,33,White,Female,
SE587069,12/20/2018 12:00:00 AM,25,Thu,29,Black,Male,
SE587068,12/20/2018 12:00:00 AM,5,Thu,21,Black,Female,
E202049,12/20/2018 12:00:00 AM,111,Thu,54,White,Female,
E202048,12/20/2018 12:00:00 AM,105,Thu,27,White,Male,
E202047,12/20/2018 12:00:00 AM,34,Thu,32,White,Male,
SE587058,12/19/2018 12:00:00 AM,1833,Wed,39,White,Male,
